"CU","diff_for_sst","diff_for_npgo"
"Douglas-Gardner","-0.08 (-0.26, 0.13)","-0.04 (-0.19, 0.16)"
"Upper Knight","0.06 (-0.2, 0.35)","0.03 (-0.19, 0.32)"
"Southern Coastal Streams","0.11 (-0.13, 0.43)","0.16 (-0.01, 0.47)"
"North Haida Gwaii","0.11 (-0.09, 0.42)","0.12 (-0.07, 0.42)"
"Smith Inlet","0.08 (-0.12, 0.35)","0.07 (-0.1, 0.34)"
"Southwest Vancouver Island","0.11 (0.01, 0.22)","0 (-0.1, 0.1)"
"Northeast Vancouver Island","0.12 (-0.09, 0.47)","0.13 (-0.05, 0.48)"
"Lower Skeena","0.03 (-0.19, 0.26)","0.06 (-0.12, 0.28)"
"Georgia Strait","-0.02 (-0.13, 0.09)","0 (-0.1, 0.1)"
"East Haida Gwaii","0.04 (-0.07, 0.14)","0.04 (-0.06, 0.14)"
"Loughborough","0.09 (-0.1, 0.29)","0.08 (-0.1, 0.28)"
"Hecate Lowlands","0.1 (-0.06, 0.3)","0.12 (-0.02, 0.31)"
"Northwest Vancouver Island","0.01 (-0.21, 0.21)","0.05 (-0.1, 0.22)"
"Mussel-Kynoch","0.06 (-0.13, 0.32)","0.05 (-0.11, 0.31)"
"West Haida Gwaii","0.12 (-0.03, 0.3)","0.11 (-0.02, 0.27)"
"Skidegate","0.08 (-0.09, 0.26)","0.11 (-0.03, 0.28)"
"Bella Coola-Dean Rivers","0.05 (-0.11, 0.24)","0.04 (-0.11, 0.23)"
"Spiller-Fitz Hugh-Burke","0.07 (-0.08, 0.24)","0.08 (-0.05, 0.25)"
"Rivers Inlet","0.1 (-0.1, 0.41)","0.07 (-0.13, 0.39)"
"Portland Inlet","0.11 (-0.08, 0.44)","0.12 (-0.04, 0.46)"
"Bute Inlet","0.07 (-0.13, 0.32)","0.05 (-0.15, 0.31)"
"Portland Canal-Observatory","0.09 (-0.11, 0.39)","0.08 (-0.1, 0.38)"
"Middle Skeena","0.06 (-0.21, 0.35)","0.06 (-0.15, 0.36)"
"Wannock","0.06 (-0.18, 0.33)","0.07 (-0.12, 0.35)"
