"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"25018","mu1[8103]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25019","mu1[8104]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25020","mu1[8105]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25021","mu1[8106]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25022","mu1[8107]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25023","mu1[8108]",6.2418964,6.24189,1.8903262505157e-05,2.96520000001943e-05,6.24187,6.24192,1.41625002584187,2.91349855624185,7.63373493975904
"25024","mu1[8109]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25025","mu1[8110]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25026","mu1[8111]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25027","mu1[8112]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25028","mu1[8113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25029","mu1[8114]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25030","mu1[8115]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25031","mu1[8116]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25032","mu1[8117]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25033","mu1[8118]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25034","mu1[8119]",-1163.98,-1163.98,0,0,-1163.98,-1163.98,NA,NA,NA
"25035","mu1[8120]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25036","mu1[8121]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25037","mu1[8122]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25038","mu1[8123]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25039","mu1[8124]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25040","mu1[8125]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25041","mu1[8126]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25042","mu1[8127]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25043","mu1[8128]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25044","mu1[8129]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25045","mu1[8130]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25046","mu1[8131]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25047","mu1[8132]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25048","mu1[8133]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25049","mu1[8134]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25050","mu1[8135]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25051","mu1[8136]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25052","mu1[8137]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25053","mu1[8138]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25054","mu1[8139]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25055","mu1[8140]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25056","mu1[8141]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25057","mu1[8142]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25058","mu1[8143]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25059","mu1[8144]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25060","mu1[8145]",-210.9054,-210.905,0.000500000000002387,0,-210.906,-210.905,2.34520787991172,1.85400491592213,NA
"25061","mu1[8146]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25062","mu1[8147]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25063","mu1[8148]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25064","mu1[8149]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25065","mu1[8150]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25066","mu1[8151]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25067","mu1[8152]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25068","mu1[8153]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25069","mu1[8154]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25070","mu1[8155]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25071","mu1[8156]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25072","mu1[8157]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25073","mu1[8158]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25074","mu1[8159]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25075","mu1[8160]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25076","mu1[8161]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25077","mu1[8162]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25078","mu1[8163]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25079","mu1[8164]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25080","mu1[8165]",-63.731332,-63.7313,0.000165126214352909,0.000296519999999309,-63.73158,-63.7311,2.08502440668034,3.62003076875709,NA
"25081","mu1[8166]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25082","mu1[8167]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25083","mu1[8168]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25084","mu1[8169]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25085","mu1[8170]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25086","mu1[8171]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25087","mu1[8172]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25088","mu1[8173]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25089","mu1[8174]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25090","mu1[8175]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25091","mu1[8176]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25092","mu1[8177]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25093","mu1[8178]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25094","mu1[8179]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25095","mu1[8180]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25096","mu1[8181]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25097","mu1[8182]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25098","mu1[8183]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25099","mu1[8184]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25100","mu1[8185]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25101","mu1[8186]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25102","mu1[8187]",-945.10984,-945.11,0.00224870333007772,0.00296519999992988,-945.1128,-945.107,2.05099391338711,1.95732242496698,NA
"25103","mu1[8188]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25104","mu1[8189]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25105","mu1[8190]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25106","mu1[8191]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25107","mu1[8192]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25108","mu1[8193]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25109","mu1[8194]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25110","mu1[8195]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25111","mu1[8196]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25112","mu1[8197]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25113","mu1[8198]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25114","mu1[8199]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25115","mu1[8200]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25116","mu1[8201]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25117","mu1[8202]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25118","mu1[8203]",-1542.2704,-1542.27,0.00199999999999818,0,-1542.27,-1542.27,1,24.3380281690141,NA
"25119","mu1[8204]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25120","mu1[8205]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25121","mu1[8206]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25122","mu1[8207]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25123","mu1[8208]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25124","mu1[8209]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25125","mu1[8210]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25126","mu1[8211]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25127","mu1[8212]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25128","mu1[8213]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25129","mu1[8214]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25130","mu1[8215]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25131","mu1[8216]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25132","mu1[8217]",-517.12584,-517.126,0.00159895799402688,0.00148259999996494,-517.128,-517.124,1.99074692335699,1.95965715105231,6.16342412451362
"25133","mu1[8218]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25134","mu1[8219]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25135","mu1[8220]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25136","mu1[8221]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25137","mu1[8222]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25138","mu1[8223]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25139","mu1[8224]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25140","mu1[8225]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25141","mu1[8226]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25142","mu1[8227]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25143","mu1[8228]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25144","mu1[8229]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25145","mu1[8230]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25146","mu1[8231]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25147","mu1[8232]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25148","mu1[8233]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25149","mu1[8234]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25150","mu1[8235]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25151","mu1[8236]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25152","mu1[8237]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25153","mu1[8238]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25154","mu1[8239]",-7.887632,-7.88763,3.16227766017131e-05,2.96520000001943e-05,-7.88767,-7.8876,2.16780626923265,1.94125461943248,9.37278106508876
"25155","mu1[8240]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25156","mu1[8241]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25157","mu1[8242]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25158","mu1[8243]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25159","mu1[8244]",NA,NA,NA,NA,NA,NA,NA,NA,NA
