"","variable_group","mean_rhat","median_rhat","min_rhat","max_rhat","mean_ess","median_ess","min_ess","max_ess"
"1","Smax[]",1,1,1,1,2849,2863,2242,3178
"2","alpha",1,1,1,1,2768,2768,2768,2768
"3","alpha_cu[]",1,1,1,1,2690,2760,1962,3169
"4","alpha_j[]",1,1,1,1,2773,2785,2030,3201
"5","b[]",1,1,1,1,2849,2863,2242,3178
"6","b_for",1,1,1,1,2661,2661,2661,2661
"7","b_for_cu[]",1,1,1,1,2775,2794,2401,3137
"8","b_for_rv[]",1,1,1,1,2815,2826,2250,3314
"9","b_npgo",1,1,1,1,2747,2747,2747,2747
"10","b_npgo_cu[]",1,1,1,1,2833,2845,2557,3012
"11","b_npgo_rv[]",1,1,1,1,2855,2876,2362,3152
"12","b_sst",1,1,1,1,2683,2683,2683,2683
"13","b_sst_cu[]",1,1,1,1,2820,2804,2447,3174
"14","b_sst_rv[]",1,1,1,1,2852,2858,2142,3372
"15","cu_sigma[]",1,1,1,1,2823,2818,2569,3018
"16","e_t[]",1,1,1,1.01,2851,2870,1923,3357
"17","log_lik[]",1,1,1,1.01,2868,2877,1920,3338
"18","lp__",1,1,1,1,2475,2475,2475,2475
"19","mu[]",NA,NA,NA,NA,NA,NA,NA,NA
"20","mu_sigma",1,1,1,1,2336,2336,2336,2336
"21","rho[]",1,1,1,1,2866,2877,2371,3239
"22","sd_sigma",1,1,1,1,2504,2504,2504,2504
"23","sd_sigma_cu",1,1,1,1,2342,2342,2342,2342
"24","sigmaAR[]",1,1,1,1,2868,2881,2340,3303
"25","sigma[]",1,1,1,1,2869,2877,2438,3186
"26","sigma_a_cu",1,1,1,1,1451,1451,1451,1451
"27","sigma_a_rv[]",1,1,1,1,2367,2490,1553,2835
"28","sigma_for_cu",1,1,1,1,1980,1980,1980,1980
"29","sigma_for_rv",1,1,1,1,1438,1438,1438,1438
"30","sigma_npgo_cu",1,1,1,1,2298,2298,2298,2298
"31","sigma_npgo_rv",1,1,1,1,2490,2490,2490,2490
"32","sigma_sst_cu",1,1,1,1,2230,2230,2230,2230
"33","sigma_sst_rv",1,1,1,1,2013,2013,2013,2013
"34","z_a_cu[]",1,1,1,1,2766,2804,2187,3106
"35","z_a_rv[]",1,1,1,1.01,2828,2843,2276,3176
"36","z_for_cu[]",1,1,1,1,2801,2842,2492,3108
"37","z_for_rv[]",1,1,1,1,2841,2845,2249,3226
"38","z_npgo_cu[]",1,1,1,1,2851,2873,2559,3068
"39","z_npgo_rv[]",1,1,1,1,2843,2852,2228,3199
"40","z_sig_cu[]",1,1,1,1,2788,2823,2346,3129
"41","z_sig_rv[]",1,1,1,1,2877,2888,2316,3209
"42","z_sst_cu[]",1,1,1,1,2801,2809,2498,3083
"43","z_sst_rv[]",1,1,1,1,2851,2858,2417,3197
