,Effect Size,,
CU,Cumulative DisturbanceSST,SST,NPGO
Douglas-Gardner,-0.13,-0.21,0.17
Upper Knight,-0.14,0.06,0.12
Southern Coastal Streams,-0.2,-0.09,0.01
North Haida Gwaii,-0.17,0.01,-0.01
Smith Inlet,-0.14,-0.04,0.06
Southwest Vancouver Island,-0.15,0.04,0.16
Northeast Vancouver Island,-0.18,0.02,0.02
Lower Skeena,-0.13,-0.09,0.06
Georgia Strait,-0.08,0.1,0.08
East Haida Gwaii,-0.07,-0.03,-0.04
Loughborough,-0.15,-0.01,0.07
Hecate Lowlands,-0.17,-0.07,0.05
Northwest Vancouver Island,-0.08,0.08,-0.02
Mussel-Kynoch,-0.14,-0.09,0.09
West Haida Gwaii,-0.19,-0.05,0.07
Skidegate,-0.15,-0.06,-0.02
Bella Coola-Dean Rivers,-0.1,0.03,0.06
Spiller-Fitz Hugh-Burke,-0.12,-0.05,0.04
Rivers Inlet,-0.16,-0.01,0.09
Portland Inlet,-0.17,-0.03,0.03
Bute Inlet,-0.14,0.01,0.09
Portland Canal-Observatory,-0.15,0.03,0.07
Middle Skeena,-0.15,-0.07,0.08
Wannock,-0.14,-0.05,0.07
