GFE_ID,WATERBODY,BroodYear,WATERSHED_CDE,SPECIES_QUALIFIED,StatArea.CU,CU_NAME,AREA,Total.ER,Age3,Age4,Age5,Age6,Stock_source,Age_source,ER_source,flag,MAX_ESTIMATE,Recruits,Returns
1119,ADAM RIVER,1950,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,NA,NA,NA,NA,NA,Data/NuSEDS/NuSEDS_20220309.csv,NA,NA,FALSE,NA,NA,NA
1119,ADAM RIVER,1951,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,NA,NA,NA,NA,NA,Data/NuSEDS/NuSEDS_20220309.csv,NA,NA,FALSE,NA,NA,NA
1119,ADAM RIVER,1952,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,NA,NA,NA,NA,NA,Data/NuSEDS/NuSEDS_20220309.csv,NA,NA,FALSE,NA,NA,NA
1119,ADAM RIVER,1953,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,NA,NA,NA,NA,NA,Data/NuSEDS/NuSEDS_20220309.csv,NA,NA,FALSE,3500,NA,NA
1119,ADAM RIVER,1954,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.10955017842865765,NA,NA,NA,NA,Data/NuSEDS/NuSEDS_20220309.csv,NA,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,3500,NA,3930.597676827747
1119,ADAM RIVER,1955,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.09817582389740731,NA,NA,NA,NA,Data/NuSEDS/NuSEDS_20220309.csv,NA,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,3500,4095.9245678063216,3881.0225903744627
1119,ADAM RIVER,1956,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.12282172427588968,NA,NA,NA,NA,Data/NuSEDS/NuSEDS_20220309.csv,NA,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,1500,2269.364151896334,1710.0286697840875
1119,ADAM RIVER,1957,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.05246617174958157,NA,NA,NA,NA,Data/NuSEDS/NuSEDS_20220309.csv,NA,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,1500,1368.1438397924203,1583.0569371540932
1119,ADAM RIVER,1958,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.07368115647906083,0.434782609,0.565217391,0,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,3500,388.56578650909375,3778.3966336002572
1119,ADAM RIVER,1959,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.07293045670070074,0.332003384,0.645675951,0.022320665,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,3500,2254.8385066930427,3775.3370556690206
1119,ADAM RIVER,1960,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.09729439150662803,0.38852246,0.602150137,0.009327403,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,1500,1148.4315162080934,1661.671297803855
1119,ADAM RIVER,1961,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.06361732390877957,0.110520263,0.870297783,0.019181954,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,750,324.2492863884041,800.9545874244011
1119,ADAM RIVER,1962,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.02541503278478374,0.793783478,0.18966273,0.016553792,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,1500,NA,1539.1167014263592
1119,ADAM RIVER,1963,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.0568794126981708,0.348690017,0.646197641,0.005112342,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,1500,NA,1590.4646979357597
1119,ADAM RIVER,1964,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.0270022020687723,0.228833951,0.764214223,0.006951826,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,750,NA,770.8136663768798
1119,ADAM RIVER,1965,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.012499600361960432,0.357271453,0.619099703,0.023628843,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,200,NA,202.5315636057549
1119,ADAM RIVER,1966,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.009299873886562003,0.155156647,0.830000209,0.014843144,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,1500,NA,1514.0807601232157
1119,ADAM RIVER,1967,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.02920897434351807,0.626558615,0.359890236,0.013551149,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,750,NA,772.565856274603
1119,ADAM RIVER,1968,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.05096096727484932,0.167854993,0.827099929,0.005045077,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,NA,NA,NA
1119,ADAM RIVER,1969,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.04815345390602043,0.455814611,0.507468931,0.036716458,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,NA,NA,NA
1119,ADAM RIVER,1970,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.06164668263674381,0.085277353,0.905354568,0.00936808,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,NA,NA,NA
1119,ADAM RIVER,1971,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.036673615198900326,0.415203238,0.4762568,0.108539962,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,NA,NA,NA
1119,ADAM RIVER,1972,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.0755875081737444,0.071381929,0.910174611,0.01844346,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,750,NA,811.3261197047556
1119,ADAM RIVER,1973,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.08976521595787217,0.026375264,0.807845091,0.165779645,0,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,NA,NA,NA
1119,ADAM RIVER,1974,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,CM,CM-5,NORTHEAST VANCOUVER ISLAND,12,0.029049963527033637,0.207801318,0.533806974,0.254940979,0.003450729,Data/NuSEDS/NuSEDS_20220309.csv,Data/From PSF/AgeComp(2018).xlsx,Data/From PSF/CU based Return year Reconstructions.xlsx,FALSE,NA,NA,NA
