GFE_ID,BroodYear,River,Species,Indicator,xLONG,yLAT,StatArea,CU,CU_2,Spawners,Returns,Recruits
1000,1950,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1951,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1952,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1953,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1954,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1955,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1956,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1957,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1958,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1959,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1960,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1961,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1962,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1963,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1964,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1965,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1966,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1967,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1968,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1969,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1970,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1971,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1972,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1973,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1974,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1975,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1976,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1977,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1978,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1979,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,NA
1000,1980,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,1768.506888
1000,1981,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,674.56452
1000,1982,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,NA,NA,503.1794002
1000,1983,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,1780,3176.10754,453.1323014
1000,1984,SPILLER LAGOON CREEK,CM,N,52.37664,-128.2271,7,CM-18,CM-18,750,1267.204365,984.6836185
