"year","month","lon","lat","id","sst"
1955,4,-134,48,1,7.27093505859375
1955,4,-132,48,2,7.36637210845947
1955,4,-130,48,3,7.53144264221191
1955,4,-128,48,4,7.9557318687439
1955,4,-126,48,5,8.51511383056641
1955,4,-124,48,6,8.88909435272217
1955,4,-134,50,7,6.63500738143921
1955,4,-132,50,8,6.84161329269409
1955,4,-130,50,9,7.13529014587402
1955,4,-128,50,10,7.61951971054077
1955,4,-126,50,11,8.23379802703857
1955,4,-124,50,12,8.64745330810547
1955,4,-134,52,13,6.38331508636475
1955,4,-132,52,14,6.62527656555176
1955,4,-130,52,15,6.9126992225647
1955,4,-128,52,16,7.32689237594604
1955,4,-126,52,17,NA
1955,4,-124,52,18,NA
1955,4,-134,54,19,6.20883274078369
1955,4,-132,54,20,6.42279720306396
1955,4,-130,54,21,6.70074939727783
1955,4,-128,54,22,NA
1955,4,-126,54,23,NA
1955,4,-124,54,24,NA
1955,4,-134,56,25,5.97992944717407
1955,4,-132,56,26,6.22112798690796
1955,4,-130,56,27,NA
1955,4,-128,56,28,NA
1955,4,-126,56,29,NA
1955,4,-124,56,30,NA
1955,5,-134,48,1,8.13014030456543
1955,5,-132,48,2,8.22276210784912
1955,5,-130,48,3,8.44197654724121
1955,5,-128,48,4,8.95245456695557
1955,5,-126,48,5,9.60551738739014
1955,5,-124,48,6,10.0604400634766
1955,5,-134,50,7,7.65306615829468
1955,5,-132,50,8,7.88695430755615
1955,5,-130,50,9,8.22118949890137
1955,5,-128,50,10,8.76019287109375
1955,5,-126,50,11,9.4729528427124
1955,5,-124,50,12,9.96966361999512
1955,5,-134,52,13,7.50522422790527
1955,5,-132,52,14,7.83053588867188
1955,5,-130,52,15,8.18207931518555
1955,5,-128,52,16,8.58339691162109
1955,5,-126,52,17,NA
1955,5,-124,52,18,NA
1955,5,-134,54,19,7.42538118362427
1955,5,-132,54,20,7.74292230606079
1955,5,-130,54,21,8.07153129577637
1955,5,-128,54,22,NA
1955,5,-126,54,23,NA
1955,5,-124,54,24,NA
1955,5,-134,56,25,7.29307079315186
1955,5,-132,56,26,7.56849431991577
1955,5,-130,56,27,NA
1955,5,-128,56,28,NA
1955,5,-126,56,29,NA
1955,5,-124,56,30,NA
1955,6,-134,48,1,9.77922344207764
1955,6,-132,48,2,10.0808181762695
1955,6,-130,48,3,10.4950332641602
1955,6,-128,48,4,11.135534286499
