Species,River,River_GFE_ID,GFE_ID,WATERSHED_CDE,DFO,CU,BroodYear,area_km2,ln_area_km2,ln_area_km2_std,Spawners,logS,Recruits,Returns,recruitPerSpawner,ln_RS,ECA_age_proxy,ECA_age_proxy_forested_only,ECA_age_proxy_forested_only_std,disturbedarea_m2_3005,disturbedarea_m2_cs,disturbedarea_prct_cs,lake_cover_pct,var_eaubc_KFACTOR,var_eaubc_MELTONS_R,vri_bec_zone,npgo,portion_reporting_vri_cover1_missing,hatchery_enhancement,year_of_enhacement,forested_area_m2,disturbedarea_m2_total,permament_dist_m2,CU_NAME,Y_LAT,X_LONG,lighthouse_location,distance,lighthouse_temp_year,spring_lighthouse_temperature
PKE,ADAM RIVER,ADAM RIVER_1119,1119,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,12,PKE-4,1954,626.6375816171919,6.440368353765809,1.7344880767035624,15000,9.615805480084347,33333.333333333336,20833.333333333336,2.2222222222222223,0.7985076962177716,0.006,0.0072,-0.5280264045731011,0,8781137.842827233,1.67673980257751,0.009,0.15396,0.235614,CWH,0.11163826845314334,0.003464132384313156,FALSE,FALSE,523703071.241509,319977559.3239831,0,SOUTHERN FJORDS,50.4658761,-126.277488,Pine_Island,116.80621822022992,1955,8.255
PKE,ADAM RIVER,ADAM RIVER_1119,1119,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,12,PKE-4,1956,626.6375816171919,6.440368353765809,1.7344880767035624,15000,9.615805480084347,92105.26315789472,33333.333333333336,6.140350877192981,1.814881886648909,0.0063,0.0075,-0.524685007493247,643784.100764046,9424921.943591278,1.799669022610126,0.009,0.15396,0.235614,CWH,-1.2042685955345862,0.003464132384313156,FALSE,FALSE,523703071.241509,319977559.3239831,0,SOUTHERN FJORDS,50.4658761,-126.277488,Pine_Island,116.80621822022992,1957,8.595
PKE,ADAM RIVER,ADAM RIVER_1119,1119,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,12,PKE-4,1958,626.6375816171919,6.440368353765809,1.7344880767035624,35000,10.46310334047155,18292.682926829268,92105.26315789472,0.5226480836236934,-0.6488469216633653,0.0058,0.0069,-0.5313678016529552,0,9424921.943591278,1.799669022610126,0.009,0.15396,0.235614,CWH,-0.2478144025276179,0.003464132384313156,FALSE,FALSE,523703071.241509,319977559.3239831,0,SOUTHERN FJORDS,50.4658761,-126.277488,Pine_Island,116.80621822022992,1959,9.1025
PKE,ADAM RIVER,ADAM RIVER_1119,1119,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,12,PKE-4,1960,626.6375816171919,6.440368353765809,1.7344880767035624,7500,8.922658299524402,7142.857142857143,18292.682926829268,0.9523809523809524,-0.048790164169431945,0.0052,0.0063,-0.5380505958126635,0,9424921.943591278,1.799669022610126,0.009,0.15396,0.235614,CWH,1.305647553806057,0.003464132384313156,FALSE,FALSE,523703071.241509,319977559.3239831,0,SOUTHERN FJORDS,50.4658761,-126.277488,Pine_Island,116.80621822022992,1961,9.415
PKE,ADAM RIVER,ADAM RIVER_1119,1119,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,12,PKE-4,1962,626.6375816171919,6.440368353765809,1.7344880767035624,3500,8.160518247477505,8139.534883720929,7142.857142857143,2.325581395348837,0.8439700702945289,0.006,0.0071,-0.5291402035997191,613615.510939379,10172955.66910477,1.942504489230587,0.009,0.15396,0.235614,CWH,-0.35564870797684905,0.003464132384313156,FALSE,FALSE,523703071.241509,319977559.3239831,0,SOUTHERN FJORDS,50.4658761,-126.277488,Pine_Island,116.80621822022992,1963,9.39
PKE,ADAM RIVER,ADAM RIVER_1119,1119,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,12,PKE-4,1964,626.6375816171919,6.440368353765809,1.7344880767035624,3500,8.160518247477505,125000,8139.534883720929,35.714285714285715,3.575550768806933,0.0084,0.01,-0.4968400318277962,1869629.25249661,12097446.52892083,2.309981971318632,0.009,0.15396,0.235614,CWH,-0.6714991486347867,0.003464132384313156,FALSE,FALSE,523703071.241509,319977559.3239831,0,SOUTHERN FJORDS,50.4658761,-126.277488,Pine_Island,116.80621822022992,1965,8.795
PKE,ADAM RIVER,ADAM RIVER_1119,1119,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,12,PKE-4,1966,626.6375816171919,6.440368353765809,1.7344880767035624,35000,10.46310334047155,120689.65517241378,125000,3.4482758620689653,1.2378743560016172,0.0107,0.0127,-0.4667674581091093,868779.26024521806,14279996.31839358,2.726735263274457,0.009,0.15396,0.235614,CWH,-0.6577500146436522,0.003464132384313156,FALSE,FALSE,523703071.241509,319977559.3239831,0,SOUTHERN FJORDS,50.4658761,-126.277488,Pine_Island,116.80621822022992,1967,9.0325
PKE,ADAM RIVER,ADAM RIVER_1119,1119,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,12,PKE-4,1968,626.6375816171919,6.440368353765809,1.7344880767035624,35000,10.46310334047155,45454.54545454546,120689.65517241378,1.298701298701299,0.2613647641344077,0.0342,0.0408,-0.15378993162944204,4662289.043728,29161352.12704318,5.568298856432567,0.009,0.15396,0.235614,CWH,-1.101328705252191,0.003464132384313156,FALSE,FALSE,523703071.241509,319977559.3239831,0,SOUTHERN FJORDS,50.4658761,-126.277488,Pine_Island,116.80621822022992,1969,8.7875
PKE,ADAM RIVER,ADAM RIVER_1119,1119,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,12,PKE-4,1970,626.6375816171919,6.440368353765809,1.7344880767035624,15000,9.615805480084347,102040.81632653062,45454.54545454546,6.802721088435375,1.9173226922034008,0.053900000000000003,0.0642,0.10683904059917754,8158317.75398278,41450765.83836287,7.914936557484419,0.009,0.15396,0.235614,CWH,0.10583709685440364,0.003464132384313156,FALSE,FALSE,523703071.241509,319977559.3239831,0,SOUTHERN FJORDS,50.4658761,-126.277488,Pine_Island,116.80621822022992,1971,8.36
PKE,ADAM RIVER,ADAM RIVER_1119,1119,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,12,PKE-4,1972,626.6375816171919,6.440368353765809,1.7344880767035624,50000,10.819778284410283,139534.88372093023,102040.81632653062,2.7906976744186047,1.0262916270884836,0.0808,0.0963,0.4643685281435661,10733624.8193413,58303468.95628998,11.13292477320664,0.009,0.15396,0.235614,CWH,-0.27628255874164626,0.003464132384313156,FALSE,FALSE,523703071.241509,319977559.3239831,0,SOUTHERN FJORDS,50.4658761,-126.277488,Pine_Island,116.80621822022992,1973,8.4825
