"Species","River","River_GFE_ID","GFE_ID","WATERSHED_CDE","DFO","CU","BroodYear","area_km2","ln_area_km2","ln_area_km2_std","Spawners","logS","Recruits","Returns","recruitPerSpawner","ln_RS","ECA_age_proxy","ECA_age_proxy_forested_only","ECA_age_proxy_forested_only_std","disturbedarea_m2_3005","disturbedarea_m2_cs","disturbedarea_prct_cs","lake_cover_pct","var_eaubc_KFACTOR","var_eaubc_MELTONS_R","vri_bec_zone","npgo","portion_reporting_vri_cover1_missing","hatchery_enhancement","year_of_enhacement","forested_area_m2","disturbedarea_m2_total","permament_dist_m2","CU_NAME","SITE_NAME","Y_LAT","X_LONG","distance.x","sst_cobe_lat","sst_cobe_lon","sst_cobe_year","spring_sst","distance.y","sst_ersst_lat","sst_ersst_lon","sst_ersst_year","spring_ersst"
"PKO","ADAM RIVER","ADAM RIVER_1119",1119,"920-758000-00000-00000-0000-0000-000-000-000-000-000-000",12,"PKO-4",1959,626.637581617192,6.44036835376581,1.54023220081678,15000,9.61580548008435,125000,35714.2857142857,8.33333333333333,2.12026353620009,0.0053,0.0063,-0.551678135101256,0,9424921.94359128,1.79966902261013,0.009,0.15396,0.235614,"CWH",0.782497762056657,0.00346413238431316,FALSE,FALSE,523703071.241509,319977559.323983,0,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT","ADAM RIVER",50.4658761,-126.277488,108.572356848034,49.5,-126.5,1960,11.230500459671,55.4355378782084,50,-126,1960,11.7061665058136
"PKO","ADAM RIVER","ADAM RIVER_1119",1119,"920-758000-00000-00000-0000-0000-000-000-000-000-000-000",12,"PKO-4",1961,626.637581617192,6.44036835376581,1.54023220081678,50000,10.8197782844103,265306.12244898,125000,5.30612244897959,1.6688613329049,0.0051,0.0061,-0.5541447741845,134418.214574115,9559340.15816539,1.82533589797434,0.009,0.15396,0.235614,"CWH",0.00583928468743269,0.00346413238431316,FALSE,FALSE,523703071.241509,319977559.323983,0,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT","ADAM RIVER",50.4658761,-126.277488,108.572356848034,49.5,-126.5,1962,10.8352506160736,55.4355378782084,50,-126,1962,11.673365354538
"PKO","ADAM RIVER","ADAM RIVER_1119",1119,"920-758000-00000-00000-0000-0000-000-000-000-000-000-000",12,"PKO-4",1963,626.637581617192,6.44036835376581,1.54023220081678,130000,11.7752897294377,120967.741935484,265306.12244898,0.930521091811414,-0.0720105359762722,0.0058,0.007,-0.5430448983099,54861.6073194502,10227817.2764242,1.95298019776317,0.009,0.15396,0.235614,"CWH",0.579794404115465,0.00346413238431316,FALSE,FALSE,523703071.241509,319977559.323983,0,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT","ADAM RIVER",50.4658761,-126.277488,108.572356848034,49.5,-126.5,1964,10.5115003585815,55.4355378782084,50,-126,1964,11.095951795578
"PKO","ADAM RIVER","ADAM RIVER_1119",1119,"920-758000-00000-00000-0000-0000-000-000-000-000-000-000",12,"PKO-4",1965,626.637581617192,6.44036835376581,1.54023220081678,75000,11.2252433925184,10294.1176470588,120967.741935484,0.137254901960784,-1.98591548366901,0.0104,0.0124,-0.476445643062301,1313770.52922753,13411217.0581484,2.56084369074927,0.009,0.15396,0.235614,"CWH",-0.709379464123501,0.00346413238431316,FALSE,FALSE,523703071.241509,319977559.323983,0,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT","ADAM RIVER",50.4658761,-126.277488,108.572356848034,49.5,-126.5,1966,10.7380006313324,55.4355378782084,50,-126,1966,11.5244290828705
"PKO","ADAM RIVER","ADAM RIVER_1119",1119,"920-758000-00000-00000-0000-0000-000-000-000-000-000-000",12,"PKO-4",1967,626.637581617192,6.44036835376581,1.54023220081678,3500,8.1605182474775,9701.49253731343,10294.1176470588,2.77185501066098,1.01951677500335,0.0268,0.0319,-0.235948332445973,10219066.7649216,24499063.0833152,4.6780445692703,0.009,0.15396,0.235614,"CWH",-0.480898092832995,0.00346413238431316,FALSE,FALSE,523703071.241509,319977559.323983,0,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT","ADAM RIVER",50.4658761,-126.277488,108.572356848034,49.5,-126.5,1968,11.0602507591248,55.4355378782084,50,-126,1968,11.3630263805389
"PKO","ADAM RIVER","ADAM RIVER_1119",1119,"920-758000-00000-00000-0000-0000-000-000-000-000-000-000",12,"PKO-4",1969,626.637581617192,6.44036835376581,1.54023220081678,6500,8.77955745588373,81967.2131147541,9701.49253731343,12.6103404791929,2.53451715034133,0.0408,0.0487,-0.028750649453444,4131095.95733691,33292448.0843801,6.35712294095504,0.009,0.15396,0.235614,"CWH",0.0967340123240834,0.00346413238431316,FALSE,FALSE,523703071.241509,319977559.323983,0,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT","ADAM RIVER",50.4658761,-126.277488,108.572356848034,49.5,-126.5,1970,10.4705004692078,55.4355378782084,50,-126,1970,11.173136472702
"PKO","ADAM RIVER","ADAM RIVER_1119",1119,"920-758000-00000-00000-0000-0000-000-000-000-000-000-000",12,"PKO-4",1971,626.637581617192,6.44036835376581,1.54023220081678,50000,10.8197782844103,109090.909090909,81967.2131147541,2.18181818181818,0.780158557549575,0.0637,0.0759,0.306712265867794,6119078.29858581,47569844.1369487,9.0833616889391,0.009,0.15396,0.235614,"CWH",-0.340803929069053,0.00346413238431316,FALSE,FALSE,523703071.241509,319977559.323983,0,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT","ADAM RIVER",50.4658761,-126.277488,108.572356848034,49.5,-126.5,1972,10.6685004234314,55.4355378782084,50,-126,1972,11.1469044685364
"PKO","ADAM RIVER","ADAM RIVER_1119",1119,"920-758000-00000-00000-0000-0000-000-000-000-000-000-000",12,"PKO-4",1973,626.637581617192,6.44036835376581,1.54023220081678,60000,11.0020998412042,1e+05,109090.909090909,1.66666666666667,0.510825623765991,0.0884,0.1054,0.670541530646342,4997390.76625709,63300859.7225471,12.0871660294991,0.009,0.15396,0.235614,"CWH",-0.203552314526649,0.00346413238431316,FALSE,FALSE,523703071.241509,319977559.323983,0,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT","ADAM RIVER",50.4658761,-126.277488,108.572356848034,49.5,-126.5,1974,10.6627507209778,55.4355378782084,50,-126,1974,11.2435989379883
"PKO","ADAM RIVER","ADAM RIVER_1119",1119,"920-758000-00000-00000-0000-0000-000-000-000-000-000-000",12,"PKO-4",1975,626.637581617192,6.44036835376581,1.54023220081678,70000,11.1562505210315,9756.09756097561,1e+05,0.139372822299652,-1.97060276164568,0.103,0.1228,0.885139130888604,3622062.05642929,72920778.6175172,13.924069309857,0.009,0.15396,0.235614,"CWH",1.22861625793987,0.00346413238431316,FALSE,FALSE,523703071.241509,319977559.323983,0,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT","ADAM RIVER",50.4658761,-126.277488,108.572356848034,49.5,-126.5,1976,10.2940003871918,55.4355378782084,50,-126,1976,10.9612121582031
"PKO","ADAM RIVER","ADAM RIVER_1119",1119,"920-758000-00000-00000-0000-0000-000-000-000-000-000-000",12,"PKO-4",1977,626.637581617192,6.44036835376581,1.54023220081678,4000,8.29404964010203,11627.9069767442,9756.09756097561,2.90697674418605,1.06711362160874,0.1383,0.1649,1.40436665791155,18207247.4480246,95839860.3399037,18.3004197612785,0.009,0.15396,0.235614,"CWH",0.972482979788495,0.00346413238431316,FALSE,FALSE,523703071.241509,319977559.323983,0,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT","ADAM RIVER",50.4658761,-126.277488,108.572356848034,49.5,-126.5,1978,11.2690002918243,55.4355378782084,50,-126,1978,12.1325216293335
